Date,Consumer,Manuf,HiTec,Hlth,btc,eth
2018-07-06,13823.217621033373,9609.94123240036,11686.738161242936,27187.279430336137,6673.5,474.0119934082031
2018-07-09,13785.894933456582,9717.572574203245,11783.738087981252,27293.30982011445,6741.75,476.6820068359375
2018-07-10,13919.618114311112,9785.595582222666,11800.235321304426,27356.08443270071,6329.9501953125,434.4240112304687
2018-07-11,13894.562801705351,9637.833088931104,11730.61393290873,27159.120624785268,6394.7099609375,446.51800537109375
2018-07-12,13866.77367610194,9694.696304155796,11944.111106487668,27501.32554465756,6228.81005859375,430.0740051269531
2018-07-13,13897.280578189364,9750.9255427199,11939.333462045071,27504.075677212026,6238.0498046875,434.0270080566406
2018-07-16,13818.066078893684,9710.946747994749,11897.545794927915,27303.29592476838,6741.75,480.6579895019531
2018-07-17,13936.90144717217,9789.605416653509,11997.48517960531,27581.789543201015,7321.0400390625,501.00201416015625
2018-07-18,13847.705277910269,9817.016311820136,11984.287945907745,27548.691395749174,7370.77978515625,480.5130004882813
2018-07-19,13867.092065299345,9801.309085721225,11973.502086756427,27397.173593072555,7466.85986328125,469.6189880371094
2018-07-20,13951.681326897671,9785.626991184068,11972.304736547752,27345.118963245717,7354.1298828125,450.697998046875
2018-07-23,13865.180902670903,9705.384849856358,12023.785646914906,27397.074689275883,7711.10986328125,450.8529968261719
2018-07-24,13858.24831221957,9783.027928655209,12049.035596773429,27558.71742994261,8424.26953125,479.37298583984375
2018-07-25,13952.484400742662,9847.595912984332,12226.156420045998,27892.177910844915,8181.39013671875,472.4930114746094
2018-07-26,13966.436885143405,9950.995670070668,12081.887774289457,27802.92294153021,7951.580078125,464.0369873046875
2018-07-27,13937.107367684604,9939.054475266585,11839.041830026235,27485.96961999677,8165.009765625,469.6659851074219
2018-07-30,13925.957681790454,9863.517661254557,11623.57126871976,27436.49487468077,8180.47998046875,457.08099365234375
2018-07-31,13987.231895590332,10042.047330923264,11685.176196443976,27779.45106061428,7780.43994140625,433.8670043945313
2018-08-01,13843.163407065753,9925.559581884554,11782.16315887446,27873.90119422037,7624.91015625,420.74700927734375
2018-08-02,13935.912601893093,9928.53724975912,11948.29165941459,27999.33374959436,7567.14990234375,412.6210021972656
2018-08-03,14164.461568564137,9965.272837583228,11969.798584401537,28060.932283843467,7434.39013671875,418.2619934082031
2018-08-06,14160.212230093568,9981.217274123364,12059.57207378455,28142.30898746661,6951.7998046875,406.6579895019531
2018-08-07,14072.418914266987,10016.151534582796,12106.604404872309,28131.052063871623,6753.1201171875,380.2149963378906
2018-08-08,13949.988869712864,9976.086928444463,12127.185632360592,28091.668590982208,6305.7998046875,356.6130065917969
2018-08-09,14011.3688207396,9932.19214595931,12134.461943740009,28066.386089250325,6568.22998046875,365.5880126953125
2018-08-10,13914.690375876497,9829.89056685593,12051.947602522574,27970.960376546875,6184.7099609375,334.1759948730469
2018-08-13,13861.814552448166,9772.877201568164,12016.996954475258,27937.39522409502,6297.56982421875,286.4949951171875
2018-08-14,13967.164343046772,9821.741587576003,12091.502335593004,28010.032451677667,6199.7099609375,278.9320068359375
2018-08-15,13961.577477309556,9741.20330655788,11966.959861536398,27942.808373793643,6308.52001953125,282.364013671875
2018-08-16,14048.139257668874,9868.81306987379,11999.270653162544,28222.23645753158,6334.72998046875,288.0459899902344
2018-08-17,14159.11955780446,9911.248966074249,12025.669048599502,28380.28098169376,6580.6298828125,315.72900390625
2018-08-20,14194.517356698969,9968.734210077477,12020.858780980065,28442.717599853484,6308.52978515625,274.31500244140625
2018-08-21,14062.508345281669,10026.552868495926,12056.921357323004,28451.25041513344,6488.759765625,281.9440002441406
2018-08-22,13973.914542706394,9955.364343129606,12123.23442478828,28556.520041669435,6376.7099609375,271.34100341796875
2018-08-23,13936.184973441086,9894.636620636516,12142.631599867942,28507.973957598595,6534.8798828125,277.10400390625
2018-08-24,13911.099840488892,9967.856931629223,12281.057600106438,28607.75186645019,6719.9599609375,282.9670104980469
2018-08-27,13933.357600233676,10081.4905006498,12396.49954154744,28747.929850595796,6884.64013671875,285.6029968261719
2018-08-28,13846.970783112229,10075.441606349408,12423.771840538844,28750.804643580857,7096.27978515625,296.4989929199219
2018-08-29,13888.511695461562,10095.592489562106,12536.828164287748,28989.436322122576,7047.16015625,289.31201171875
2018-08-30,13799.62522061061,10009.77995340083,12502.97872824417,28998.13315301921,6978.22998046875,284.1050109863281
2018-08-31,13827.22447105183,10005.77604141947,12524.233792082186,29032.930912802836,7037.580078125,283.0039978027344
2018-09-04,13809.249079239464,9953.74600600409,12490.418360843563,28838.410275687056,7361.66015625,285.7229919433594
2018-09-05,13930.77047113677,10028.39910104912,12316.801545627835,28844.17795774219,6792.830078125,232.33099365234375
2018-09-06,13986.493553021315,10029.401940959226,12228.120574499317,28705.72590354503,6529.169921875,230.21499633789065
2018-09-07,13937.540825585744,9997.307854748156,12204.887145407767,28725.81991167751,6467.06982421875,217.2030029296875
2018-09-10,13986.322218475294,10018.302201243128,12247.604250416694,28757.41831358036,6329.7001953125,197.07899475097656
2018-09-11,13931.77556182324,10016.298540802878,12334.562240594654,28766.045539074432,6321.2001953125,185.0659942626953
2018-09-12,14122.64088702022,10046.347436425283,12286.457447856335,28860.97348935338,6351.7998046875,183.33099365234375
2018-09-13,14133.938999729837,10108.63479053112,12416.693896803612,29158.24151629372,6517.31005859375,211.35400390625
2018-09-14,14128.285424129945,10153.112783609458,12432.835598869458,29082.430088351353,6512.7099609375,211.74899291992188
2018-09-17,14148.065023723726,10172.403697898317,12246.343064886416,28881.761320741727,6281.2001953125,197.875
2018-09-18,14051.858181562404,10238.524321934656,12319.821123275737,29092.598178383145,6371.2998046875,209.9750061035156
2018-09-19,14015.32335029034,10270.263747332654,12284.093642018235,28979.13704548745,6398.5400390625,209.968994140625
2018-09-20,14169.491907143532,10354.479910060782,12411.848215895225,29286.315898169614,6519.669921875,224.59100341796875
2018-09-21,14183.661399050674,10371.04707791688,12363.442007853231,29289.24452975943,6734.9501953125,246.58399963378903
2018-09-24,13975.161576484628,10247.631617689667,12419.077496888573,29426.903979049297,6595.41015625,228.72999572753903
2018-09-25,13903.888252444556,10203.5668017336,12448.883282881105,29421.01859825349,6446.47021484375,218.5050048828125
2018-09-26,13905.2786412698,10148.46754100424,12407.801968047595,29435.729107552615,6495.0,215.8470001220703
2018-09-27,13887.20177903615,10130.200299430431,12492.17502143032,29547.584878161317,6676.75,228.49400329589844
2018-09-28,13924.697223839546,10133.23935952026,12517.15937147318,29645.09190825925,6644.1298828125,222.40199279785156
2018-10-01,13874.568313833724,10184.918880253816,12527.173098970356,29636.198380686776,6589.6201171875,230.76800537109375
2018-10-02,13891.217795810324,10218.529112558654,12493.349731603135,29520.6172070021,6556.10009765625,227.18099975585935
2018-10-03,13810.648732594624,10213.419848002375,12548.32047042219,29499.952774957197,6502.58984375,220.4889984130859
2018-10-04,13802.362343355066,10130.691147233556,12316.17654171938,29122.353379437744,6576.68994140625,222.2180023193359
2018-10-05,13825.82635933877,10053.69789451458,12169.61404087292,29072.8453786927,6622.47998046875,227.6009979248047
2018-10-08,13994.501440922702,10055.708634093482,12034.53132501923,28976.904988943013,6652.22998046875,229.2550048828125
2018-10-09,13928.727284150364,9875.711449543209,12041.752043814242,28997.18882243527,6642.64013671875,227.98199462890625
2018-10-10,13690.546047591391,9557.713540867917,11492.648150616313,28225.863599758493,6585.52978515625,225.7689971923828
2018-10-11,13401.675525987215,9350.311157031085,11375.423139480026,27534.32994156441,6256.240234375,189.49899291992188
2018-10-12,13459.30273074896,9397.062712816238,11678.009394990197,27983.13951961191,6274.580078125,196.7270050048828
2018-10-15,13556.209710410352,9403.640656715208,11541.37668506881,27776.06428716678,6596.5400390625,209.70399475097656
2018-10-16,13728.373573732562,9588.8923776525,11894.542811631914,28603.79100292435,6596.10986328125,210.1199951171875
2018-10-17,13740.72910994892,9538.07124805094,11849.343548947712,28778.274128042187,6544.43017578125,207.08299255371097
2018-10-18,13700.88099553007,9372.108808334857,11592.212793935549,28389.767427313614,6476.7099609375,203.3520050048828
2018-10-19,13824.18892448984,9380.543706262357,11533.092508686475,28060.446125156777,6465.41015625,203.7270050048828
2018-10-22,13727.41960201841,9336.45515084292,11616.13077474902,27833.15651154301,6487.16015625,204.04400634765625
2018-10-23,13768.601860824465,9204.811133216035,11566.181412417598,27668.9408881249,6475.740234375,204.33599853515625
2018-10-24,13775.486161754874,8964.565562639098,11038.763540011356,26634.12249890903,6495.83984375,203.8520050048828
2018-10-25,13815.435071623962,9062.279327271865,11379.861333397706,26921.77102189725,6476.2900390625,202.718994140625
2018-10-26,13583.33576242068,8962.594254671872,11169.333898729848,26692.93596821112,6474.75,203.32899475097656
2018-10-29,13759.919127332148,8846.976788786606,10944.83028736538,26700.943849001585,6332.6298828125,197.2469940185547
2018-10-30,14021.35759075146,9058.419534038603,11142.931715566692,27034.7056471141,6334.27001953125,197.55599975585935
2018-10-31,13897.969643952843,9141.756993751762,11412.590663083409,27045.519529372945,6317.60986328125,197.38099670410156
2018-11-01,13981.357461816562,9405.953770871189,11533.56412411209,27626.998199254464,6377.77978515625,198.8719940185547
2018-11-02,13870.904737868212,9414.41912926497,11360.56066225041,27444.660011139385,6388.43994140625,200.6349945068359
2018-11-05,14059.54904230322,9449.252480043251,11302.621802872933,27628.539233214015,6419.66015625,209.09100341796875
2018-11-06,14129.846787514734,9540.91022909967,11378.34936895218,27650.642064600583,6461.009765625,218.45199584960935
2018-11-07,14203.321990809813,9680.207518444526,11690.11614166147,28388.91420772542,6530.14013671875,217.18299865722656
2018-11-08,14214.68464840246,9641.486688370747,11630.496549338995,28369.04196778001,6453.72021484375,212.2310028076172
2018-11-09,14207.57730607826,9568.211389539129,11426.962859725563,28178.969386595883,6385.6201171875,210.07400512695312
2018-11-12,14093.916687629631,9410.335901611734,11048.730389068647,27708.380597839732,6371.27001953125,210.41799926757812
