Date,Consumer,Manuf,HiTec,Hlth
2021-04-15,17965.954307907425,14253.614210742468,24097.726057550295,39304.49438697091
2021-04-16,18107.885346939893,14340.561257427997,24056.75992325246,39603.20854431189
2021-04-19,17990.184092184783,14250.215721506202,23849.871787912485,39405.19250159033
2021-04-20,17986.586055366348,14069.237981843073,23647.14787771523,39460.35977109256
2021-04-21,18175.445208947694,14301.380408543482,23819.77205722255,40170.646246972225
2021-04-22,18091.838160986536,14159.796742498902,23612.540040324715,39953.724757238575
2021-04-23,18160.587145998285,14322.634405037641,23992.701934973942,40169.47487092767
2021-04-26,18009.854272686498,14354.144200728724,24155.85230813176,40318.101927950105
2021-04-27,18029.665112386454,14368.49834492945,24071.306825053303,40144.73408965992
2021-04-28,18029.665112386454,14346.945597412057,23965.39307502307,40044.37225443577
2021-04-29,18199.143964442886,14427.288492757565,24032.496175633132,39712.00396472396
2021-04-30,18117.247816602896,14314.755642514056,23710.46072687965,39576.9831512439
2021-05-03,18325.59616649383,14410.664505318899,23608.505745754068,39909.42980971435
2021-05-04,18178.991397161877,14469.748229790706,23143.418182562713,39474.41702478846
2021-05-05,18158.994506625,14508.81655001114,23097.131346197588,39427.047724358716
2021-05-06,18355.111647296548,14626.337964066232,23217.23642919782,39312.70928595807
2021-05-07,18406.505959908976,14785.765047874553,23430.83500434644,39580.03570910259
2021-05-10,18430.43441765686,14689.65757506337,22845.06412923778,39211.94137700793
2021-05-11,18279.304855432074,14595.643766582964,22803.94301380515,39043.3300290868
2021-05-12,17985.008047259616,14181.127483612008,22167.713003719986,38656.80106179884
2021-05-13,18251.186166359057,14453.40513129736,22380.5230485557,38904.20458859435
2021-05-14,18367.993757823755,14652.862122109265,22895.27507867248,39289.356214021434
2021-05-17,18347.78896469015,14658.723266958108,22757.903428200443,39246.13792218601
2021-05-18,18257.884798763167,14466.693992160957,22612.252846259962,39277.53483252376
2021-05-19,18126.42802821207,14368.320473014262,22698.17940707575,39124.352446676916
2021-05-20,18311.317594099834,14440.162075379332,23140.79390551373,39707.3052981324
2021-05-21,18294.837408265143,14483.48256160547,23025.08993598616,39600.09557382744
2021-05-24,18391.800046528948,14595.005377329831,23437.239045840313,39647.61568851604
2021-05-25,18358.694806445194,14565.815366575172,23451.301389267817,39496.954748899676
2021-05-26,18446.816541516127,14608.056231138238,23524.00042357455,39449.558403200994
